matchid,winner,hero_1_A,hero_2_A,hero_3_A,hero_4_A,hero_5_A,hero_6_A,hero_1_B,hero_2_B,hero_3_B,hero_4_B,hero_5_B,hero_6_B
6300223,The Sapphire Flame,Paradox,Bebop,Seven,Infernus,Lash,Dynamo,Ivy,Lady Geist,Pocket,Vindicta,Yamato,Grey Talon
6300224,The Amber Hand,Seven,Haze,Bebop,McGinnis,Vindicta,Infernus,Yamato,Abrams,Wraith,Paradox,Shiv,Viscous
6300229,The Amber Hand,McGinnis,Lady Geist,Yamato,Dynamo,Wraith,Pocket,Bebop,Lash,Ivy,Haze,Grey Talon,Seven
6300230,The Sapphire Flame,Haze,Vindicta,Seven,Bebop,Abrams,Paradox,Wraith,Lady Geist,Mo & Krill,Grey Talon,Infernus,Pocket
6300232,The Amber Hand,Infernus,Yamato,Haze,Seven,Vindicta,McGinnis,Lady Geist,Wraith,Dynamo,Paradox,Grey Talon,Bebop
6300234,The Amber Hand,Infernus,Abrams,Warden,Haze,Lady Geist,Viscous,Mo & Krill,Seven,Shiv,Vindicta,McGinnis,Grey Talon
6300235,The Sapphire Flame,Shiv,Yamato,Seven,Lady Geist,Dynamo,Bebop,Mo & Krill,Lash,Viscous,Wraith,Warden,Haze
6300236,The Sapphire Flame,Infernus,Dynamo,Ivy,Seven,Lash,Pocket,Bebop,Haze,Warden,Viscous,Wraith,Lady Geist
6300240,The Amber Hand,Seven,Warden,Bebop,Abrams,Dynamo,Shiv,Grey Talon,Haze,Ivy,Yamato,Mo & Krill,Vindicta
6300241,The Amber Hand,McGinnis,Bebop,Vindicta,Infernus,Wraith,Abrams,Shiv,Lash,Seven,Mo & Krill,Grey Talon,Haze
6300245,The Sapphire Flame,Dynamo,Wraith,Shiv,Kelvin,Warden,Infernus,Ivy,Grey Talon,Bebop,McGinnis,Seven,Vindicta
6300246,The Sapphire Flame,Seven,Haze,Bebop,Wraith,Lash,Abrams,Pocket,Kelvin,McGinnis,Paradox,Lady Geist,Warden
6300247,The Amber Hand,Dynamo,Haze,Lash,Shiv,Wraith,Vindicta,Paradox,Grey Talon,Bebop,Infernus,Seven,Ivy
6300251,The Sapphire Flame,Infernus,Vindicta,Bebop,Yamato,Pocket,Wraith,Shiv,Haze,Kelvin,Viscous,Seven,McGinnis
6300253,The Amber Hand,Shiv,Mo & Krill,McGinnis,Wraith,Viscous,Yamato,Haze,Vindicta,Warden,Lash,Lady Geist,Pocket
6300254,The Sapphire Flame,Paradox,Haze,Wraith,Yamato,Mo & Krill,Grey Talon,Dynamo,Infernus,Pocket,Shiv,Vindicta,Seven
6300257,The Sapphire Flame,Ivy,Pocket,Lady Geist,Bebop,Mo & Krill,Viscous,Haze,Lash,Vindicta,Wraith,Seven,Grey Talon
6300260,The Amber Hand,Lash,Abrams,Seven,Wraith,Infernus,Vindicta,Bebop,Warden,Yamato,Pocket,McGinnis,Haze
6300261,The Sapphire Flame,Abrams,Wraith,Grey Talon,Lady Geist,Seven,Vindicta,Pocket,Haze,McGinnis,Bebop,Viscous,Ivy
6300270,The Sapphire Flame,Wraith,Seven,Bebop,Yamato,Vindicta,Pocket,Dynamo,Haze,McGinnis,Warden,Shiv,Paradox
